file,line,column,severity,pattern,snippet,suggested_fix
play.html,109,29,P0,right-positioning,position:absolute;top:8px;right:8px;,inset-inline-end
play.html,190,58,P0,left-positioning,border-radius:0 0 60px 60px;position:absolute;bottom:0;left:10px;,inset-inline-start
play.html,195,3,P1,border-left,border-left:none;border-radius:0 20px 20px 0;,border-inline-start*
play.html,196,21,P0,right-positioning,position:absolute;right:-30px;top:30px;,inset-inline-end
play.html,199,30,P0,left-positioning,position:absolute;bottom:0;left:0;right:0;height:110px;,inset-inline-start
play.html,199,37,P0,right-positioning,position:absolute;bottom:0;left:0;right:0;height:110px;,inset-inline-end
play.html,205,31,P0,left-positioning,position:absolute;top:-60px;left:50%;transform:translateX(-50%);,inset-inline-start
play.html,211,30,P0,left-positioning,position:absolute;top:10px;left:50%;transform:translateX(-50%);,inset-inline-start
play.html,224,3,P1,border-left,border-left:2px solid var(--green);border-right:2px solid var(--green);,border-inline-start*
play.html,224,38,P1,border-right,border-left:2px solid var(--green);border-right:2px solid var(--green);,border-inline-end*
play.html,329,17,P1,text-align-left,.milestone-info{text-align:left},text-align: start
play.html,338,3,P1,border-left,border-left:4px solid var(--green);,border-inline-start*
play.html,340,24,P1,border-left,.voucher-card.redeemed{border-left-color:var(--gray-4);opacity:.6},border-inline-start*
play.html,341,23,P1,border-left,.voucher-card.expired{border-left-color:#e74c3c;opacity:.5},border-inline-start*
play.html,365,27,P0,left-positioning,position:fixed;bottom:0;left:50%;transform:translateX(-50%);,inset-inline-start
play.html,383,27,P0,left-positioning,position:fixed;top:20px;left:50%;transform:translateX(-50%) translateY(-100px);,inset-inline-start
play.html,529,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,531,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,746,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,748,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,923,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,925,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,973,69,P0,left-positioning,"<div class=""latte-timing-indicator"" id=""indicator"" style=""left:0%""></div>",inset-inline-start
play.html,997,16,P0,js-style-left,indicator.style.left = indicatorPos + '%';,use CSS class toggling inset-inline-start
play.html,1034,12,P0,js-style-left,popup.style.left = '50%';,use CSS class toggling inset-inline-start
play.html,1057,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1059,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1153,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1155,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1208,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1210,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1270,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1272,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1345,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
play.html,1347,4,P2,ascii-box-drawing,// ════════════════════════════════════════════════════════════════════════,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,37,14,P2,ascii-box-drawing,/* ── Header ─────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,39,24,P0,left-positioning,position:fixed;top:0;left:0;right:0;z-index:100;,inset-inline-start
index.html,39,31,P0,right-positioning,position:fixed;top:0;left:0;right:0;z-index:100;,inset-inline-end
index.html,59,12,P2,ascii-box-drawing,/* ── Hero ───────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,96,16,P2,ascii-box-drawing,/* ── Sections ───────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,109,13,P2,ascii-box-drawing,/* ── Cards ──────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,136,20,P2,ascii-box-drawing,/* ── How it works ───────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,144,31,P0,left-positioning,position:absolute;top:-18px;left:28px;,inset-inline-start
index.html,151,23,P2,ascii-box-drawing,/* ── Industries grid ────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,167,15,P2,ascii-box-drawing,/* ── Pricing ────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,196,57,P1,margin-left,.tier-name span{color:var(--text-muted);font-weight:400;margin-left:8px},margin-inline-start
index.html,199,20,P2,ascii-box-drawing,/* ── Testimonials ───────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,209,17,P2,ascii-box-drawing,/* ── For Users ─────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,228,22,P2,ascii-box-drawing,/* ── Investor strip ────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,238,14,P2,ascii-box-drawing,/* ── Footer ────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,253,24,P2,ascii-box-drawing,/* ── Reveal animation ──────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,263,6,P2,ascii-box-drawing,<!-- ═══ HEADER ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,263,17,P2,ascii-box-drawing,<!-- ═══ HEADER ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,277,6,P2,ascii-box-drawing,<!-- ═══ HERO ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,277,15,P2,ascii-box-drawing,<!-- ═══ HERO ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,285,86,P2,directional-arrow-unicode,"<a href=""https://partner.letskix.com"" class=""btn btn-primary"">立即开始 Get Started →</a>","use icon class with .kix-icon-directional, or pair → with ← per dir"
index.html,291,6,P2,ascii-box-drawing,<!-- ═══ PROBLEM ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,291,18,P2,ascii-box-drawing,<!-- ═══ PROBLEM ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,325,6,P2,ascii-box-drawing,<!-- ═══ SOLUTION ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,325,19,P2,ascii-box-drawing,<!-- ═══ SOLUTION ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,366,6,P2,ascii-box-drawing,<!-- ═══ HOW IT WORKS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,366,23,P2,ascii-box-drawing,<!-- ═══ HOW IT WORKS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,400,6,P2,ascii-box-drawing,<!-- ═══ INDUSTRIES ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,400,21,P2,ascii-box-drawing,<!-- ═══ INDUSTRIES ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,425,6,P2,ascii-box-drawing,<!-- ═══ PRICING ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,425,18,P2,ascii-box-drawing,<!-- ═══ PRICING ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,463,6,P2,ascii-box-drawing,<!-- ═══ TESTIMONIALS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,463,23,P2,ascii-box-drawing,<!-- ═══ TESTIMONIALS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,494,6,P2,ascii-box-drawing,<!-- ═══ FOR USERS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,494,20,P2,ascii-box-drawing,<!-- ═══ FOR USERS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,509,39,P2,directional-arrow-unicode,"<div class=""app-btn-icon"">▶️</div>","use icon class with .kix-icon-directional, or pair → with ← per dir"
index.html,530,6,P2,ascii-box-drawing,<!-- ═══ INVESTOR / PRESS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,530,27,P2,ascii-box-drawing,<!-- ═══ INVESTOR / PRESS ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,557,70,P1,margin-right,"<a href=""https://github.com/"" class=""btn btn-secondary"" style=""margin-right:8px"">GitHub</a>",margin-inline-end
index.html,563,6,P2,ascii-box-drawing,<!-- ═══ FOOTER ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
index.html,563,17,P2,ascii-box-drawing,<!-- ═══ FOOTER ═══ -->,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,11,25,P2,ascii-box-drawing,/* ── Reset & Variables ──────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,48,17,P2,ascii-box-drawing,/* ── Scrollbar ──────────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,54,22,P2,ascii-box-drawing,/* ── Page structure ─────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,58,18,P2,ascii-box-drawing,/* ── Login Page ─────────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,69,14,P0,right-positioning,top:-150px;right:-150px;pointer-events:none;,inset-inline-end
portal.html,139,17,P2,ascii-box-drawing,/* ── App Shell ──────────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
portal.html,143,24,P0,left-positioning,position:fixed;top:0;left:0;right:0;z-index:100;,inset-inline-start
portal.html,143,31,P0,right-positioning,position:fixed;top:0;left:0;right:0;z-index:100;,inset-inline-end
portal.html,154,42,P1,margin-left,font-size:12px;color:var(--text-muted);margin-left:8px;,margin-inline-start
portal.html,166,20,P2,ascii-box-drawing,/* ── Content Area ───────────────────────────────────────────────────── */,render as <table>/<svg> instead; ASCII art doesn't mirror
